date_m,Year-ahead,Month-ahead
2012-09-14,104.47,91.02
2012-09-17,104.34,90.72
2012-09-18,104.01,90.37
2012-09-19,103.73,90.17
2012-09-20,103.53,90.5
2012-09-21,102.98,89.57
2012-09-24,101.74,88.07
2012-09-25,101.88,87.8
2012-09-26,101.75,87.9
2012-09-27,102.23,88.6
2012-09-28,102.13,88.65
2012-10-01,101.25,88.97
2012-10-02,101.16,89.27
2012-10-03,100.86,88.92
2012-10-04,101.43,89.55
2012-10-05,102.18,90.22
2012-10-08,101.97,90.45
2012-10-09,101.96,90.35
2012-10-10,101.6,89.4
2012-10-11,100.85,88.48
2012-10-12,99.93,87.48
2012-10-15,98.2,85.82
2012-10-16,99.18,86.87
2012-10-17,100.14,87.67
2012-10-18,99.72,87.55
2012-10-19,100.31,88.25
2012-10-22,100.0,88.12
2012-10-23,99.25,87.85
2012-10-24,98.81,87.25
2012-10-25,98.4,87.05
2012-10-26,98.14,86.47
2012-10-29,97.41,85.5
2012-10-30,97.88,86.0
2012-10-31,97.61,86.0
2012-11-01,97.78,87.52
2012-11-02,97.84,87.72
2012-11-05,98.14,88.5
2012-11-06,98.99,89.9
2012-11-07,98.62,89.42
2012-11-08,99.47,90.52
2012-11-09,99.46,90.6
2012-11-12,100.44,91.52
2012-11-13,99.97,90.57
2012-11-14,100.5,91.5
2012-11-15,100.8,92.42
2012-11-16,101.15,92.97
2012-11-19,101.1,92.5
2012-11-20,100.48,91.77
2012-11-21,99.99,91.25
2012-11-22,100.66,92.2
2012-11-23,101.54,93.5
2012-11-26,100.85,93.27
2012-11-27,100.98,94.0
2012-11-28,100.54,93.27
2012-11-29,100.87,93.22
2012-11-30,101.04,93.37
2012-12-03,101.36,94.2
2012-12-04,101.4,93.82
2012-12-05,101.08,93.1
2012-12-06,100.27,92.12
2012-12-07,100.01,91.85
2012-12-10,99.86,91.62
2012-12-11,99.34,90.67
2012-12-12,98.7,89.8
2012-12-13,99.49,90.57
2012-12-14,99.8,91.5
2012-12-17,100.01,92.0
2012-12-18,100.62,92.87
2012-12-19,100.5,92.97
2012-12-20,99.63,91.82
2012-12-21,99.24,91.17
2012-12-24,98.9,90.87
2012-12-26,98.9,90.87
2012-12-27,98.19,90.37
2012-12-28,98.41,90.47
2012-12-31,98.33,90.4
2013-01-02,105.79,90.87
2013-01-03,105.44,89.87
2013-01-04,105.22,89.67
2013-01-07,105.08,88.97
2013-01-08,104.89,88.2
2013-01-09,104.98,88.32
2013-01-10,105.16,88.22
2013-01-11,105.05,88.15
2013-01-14,104.28,87.3
2013-01-15,103.9,87.22
2013-01-16,103.36,87.52
2013-01-17,103.9,88.4
2013-01-18,102.8,87.65
2013-01-21,102.17,86.7
2013-01-22,102.64,87.17
2013-01-23,102.02,86.75
2013-01-24,102.51,87.42
2013-01-25,103.22,88.27
2013-01-28,103.98,88.4
2013-01-29,103.79,87.72
2013-01-30,103.82,87.62
2013-01-31,102.92,86.88
2013-02-01,103.46,88.47
2013-02-04,103.01,88.07
2013-02-05,102.96,88.52
2013-02-06,102.81,88.5
2013-02-07,102.81,89.07
2013-02-08,103.79,90.85
2013-02-11,103.44,90.27
2013-02-12,103.52,90.15
2013-02-13,102.69,89.1
2013-02-14,102.11,88.5
