date_m,EUA 1st Dec contract
2015-06-22,8.02
2015-06-23,8.04
2015-06-24,8.02
2015-06-25,8.12
2015-06-26,8.08
2015-06-29,7.9
2015-06-30,7.97
2015-07-01,8.01
2015-07-02,7.98
2015-07-03,7.97
2015-07-06,7.9
2015-07-07,7.98
2015-07-08,7.97
2015-07-09,8.0
2015-07-10,8.14
2015-07-13,8.3
2015-07-14,8.25
2015-07-15,8.3
2015-07-16,8.2
2015-07-17,8.25
2015-07-20,8.52
2015-07-21,8.49
2015-07-22,8.48
2015-07-23,8.6
2015-07-24,8.54
2015-07-27,8.54
2015-07-28,8.53
2015-07-29,8.59
2015-07-30,8.38
2015-07-31,8.38
2015-08-03,8.46
2015-08-04,8.41
2015-08-05,8.34
2015-08-06,8.36
2015-08-07,8.3
2015-08-10,8.43
2015-08-11,8.6
2015-08-12,8.71
2015-08-13,8.72
2015-08-14,8.82
2015-08-17,8.75
2015-08-18,8.8
2015-08-19,8.86
2015-08-20,8.89
2015-08-21,8.71
2015-08-24,8.7
2015-08-25,8.76
2015-08-26,8.63
2015-08-27,8.57
2015-08-28,8.62
2015-08-31,8.59
2015-09-01,8.52
2015-09-02,8.63
2015-09-03,8.7
2015-09-04,8.6
2015-09-07,8.6
2015-09-08,8.73
2015-09-09,8.78
2015-09-10,8.77
2015-09-11,8.76
2015-09-14,8.74
2015-09-15,8.68
2015-09-16,8.74
2015-09-17,8.73
2015-09-18,8.61
2015-09-21,8.5
2015-09-22,8.52
2015-09-23,8.57
2015-09-24,8.5
2015-09-25,8.49
2015-09-28,8.41
2015-09-29,8.46
2015-09-30,8.64
2015-10-01,8.65
2015-10-02,8.62
2015-10-05,8.68
2015-10-06,8.69
2015-10-07,8.59
2015-10-08,8.6
2015-10-09,8.82
2015-10-12,8.78
2015-10-13,8.82
2015-10-14,8.92
2015-10-15,8.92
2015-10-16,8.88
2015-10-19,8.82
2015-10-20,8.93
2015-10-21,8.92
2015-10-22,8.95
2015-10-23,9.1
2015-10-26,9.14
2015-10-27,9.09
2015-10-28,9.05
2015-10-29,9.16
2015-10-30,9.12
2015-11-02,9.08
2015-11-03,8.93
2015-11-04,8.89
2015-11-05,8.94
2015-11-06,8.89
2015-11-09,8.8
2015-11-10,8.92
2015-11-11,8.93
2015-11-12,8.86
2015-11-13,8.87
2015-11-16,9.0
2015-11-17,9.09
2015-11-18,9.07
2015-11-19,9.11
2015-11-20,9.0
2015-11-23,9.04
2015-11-24,9.14
2015-11-25,9.11
2015-11-26,9.07
2015-11-27,9.05
2015-11-30,9.06
2015-12-01,9.04
2015-12-02,8.98
2015-12-03,9.07
2015-12-04,9.01
2015-12-07,8.9
2015-12-08,8.91
2015-12-09,8.89
2015-12-10,8.84
2015-12-11,8.54
2015-12-14,8.56
2015-12-15,8.68
2015-12-16,8.61
2015-12-17,8.57
2015-12-18,8.55
2015-12-21,8.67
2015-12-22,8.73
2015-12-23,8.7
2015-12-28,8.8
2015-12-29,8.75
2015-12-30,8.68
2016-01-04,8.11
2016-01-05,8.06
2016-01-06,7.82
2016-01-07,7.6
2016-01-08,7.46
2016-01-11,7.18
2016-01-12,7.15
2016-01-13,7.3
2016-01-14,7.13
2016-01-15,6.72
2016-01-18,6.76
2016-01-19,6.86
2016-01-20,6.36
2016-01-21,6.22
2016-01-22,6.36
2016-01-25,5.92
2016-01-26,6.1
2016-01-27,5.93
2016-01-28,6.09
2016-01-29,6.07
2016-02-01,5.71
2016-02-02,5.84
2016-02-03,5.64
2016-02-04,5.62
2016-02-05,5.56
2016-02-08,5.26
2016-02-09,4.96
2016-02-10,4.89
2016-02-11,4.74
2016-02-12,5.08
2016-02-15,4.81
2016-02-16,4.7
2016-02-17,5.1
2016-02-18,5.26
2016-02-19,5.17
2016-02-22,5.42
2016-02-23,4.91
2016-02-24,4.88
2016-02-25,5.08
2016-02-26,5.0
2016-02-29,5.01
2016-03-01,5.0
2016-03-02,4.97
2016-03-03,4.89
2016-03-04,4.93
2016-03-07,5.1
2016-03-08,5.03
2016-03-09,5.1
2016-03-10,4.92
2016-03-11,5.0
2016-03-14,4.89
2016-03-15,4.88
2016-03-16,4.97
2016-03-17,5.01
2016-03-18,4.95
2016-03-21,4.88
2016-03-22,4.83
2016-03-23,4.81
2016-03-24,4.86
2016-03-29,4.79
2016-03-30,4.97
2016-03-31,5.22
2016-04-01,5.18
2016-04-04,5.32
2016-04-05,5.23
2016-04-06,5.3
2016-04-07,5.28
2016-04-08,5.43
2016-04-11,5.58
2016-04-12,5.59
2016-04-13,5.54
2016-04-14,5.61
2016-04-15,5.48
2016-04-18,5.48
2016-04-19,5.57
2016-04-20,5.55
2016-04-21,5.76
2016-04-22,5.96
2016-04-25,5.91
2016-04-26,6.62
2016-04-27,6.84
2016-04-28,6.34
2016-04-29,6.18
2016-05-02,6.11
2016-05-03,5.98
2016-05-04,6.14
2016-05-05,6.21
2016-05-06,5.86
2016-05-09,5.7
2016-05-10,5.9
2016-05-11,6.02
2016-05-12,5.82
2016-05-13,5.84
2016-05-16,6.11
2016-05-17,6.05
2016-05-18,6.06
2016-05-19,6.0
2016-05-20,5.98
2016-05-23,5.74
2016-05-24,5.8
2016-05-25,5.87
2016-05-26,6.03
2016-05-27,6.04
2016-05-30,6.12
2016-05-31,6.1
2016-06-01,5.97
2016-06-02,6.02
2016-06-03,5.96
2016-06-06,6.21
2016-06-07,6.12
2016-06-08,6.11
2016-06-09,6.12
2016-06-10,5.96
2016-06-13,5.86
2016-06-14,5.86
2016-06-15,5.91
2016-06-16,5.71
2016-06-17,5.68
2016-06-20,5.86
2016-06-21,5.56
2016-06-22,5.7
2016-06-23,5.65
2016-06-24,4.96
2016-06-27,4.78
2016-06-28,4.7
2016-06-29,4.53
2016-06-30,4.47
2016-07-01,4.62
2016-07-04,4.97
2016-07-05,4.72
2016-07-06,4.58
2016-07-07,4.58
2016-07-08,4.55
2016-07-11,4.44
2016-07-12,4.64
2016-07-13,4.78
2016-07-14,4.78
2016-07-15,4.94
2016-07-18,4.85
2016-07-19,4.68
2016-07-20,4.69
2016-07-21,4.66
2016-07-22,4.58
2016-07-25,4.6
2016-07-26,4.52
2016-07-27,4.54
2016-07-28,4.5
2016-07-29,4.43
2016-08-01,4.38
2016-08-02,4.42
2016-08-03,4.63
2016-08-04,4.7
2016-08-05,4.72
2016-08-08,4.94
2016-08-09,4.88
2016-08-10,4.78
2016-08-11,4.88
2016-08-12,4.9
2016-08-15,4.81
2016-08-16,4.7
2016-08-17,4.5
2016-08-18,4.69
2016-08-19,4.76
2016-08-22,4.9
2016-08-23,4.72
2016-08-24,4.61
2016-08-25,4.71
2016-08-26,4.7
2016-08-29,4.7
2016-08-30,4.56
2016-08-31,4.46
2016-09-01,4.38
2016-09-02,4.09
2016-09-05,3.92
2016-09-06,4.14
2016-09-07,4.01
2016-09-08,4.08
2016-09-09,4.08
2016-09-12,4.03
2016-09-13,4.03
2016-09-14,3.99
2016-09-15,4.14
2016-09-16,4.36
2016-09-19,4.4
2016-09-20,4.16
2016-09-21,4.22
2016-09-22,4.42
2016-09-23,4.55
2016-09-26,4.62
2016-09-27,4.44
2016-09-28,4.96
2016-09-29,5.03
2016-09-30,4.96
2016-10-03,5.32
2016-10-04,5.2
2016-10-05,5.48
2016-10-06,5.86
2016-10-07,5.69
2016-10-10,5.66
2016-10-11,5.42
2016-10-12,5.52
2016-10-13,5.66
2016-10-14,5.81
2016-10-17,5.87
2016-10-18,5.95
2016-10-19,5.67
2016-10-20,5.58
2016-10-21,5.9
2016-10-24,5.8
2016-10-25,5.81
2016-10-26,5.94
2016-10-27,5.8
2016-10-28,5.88
2016-10-31,5.9
2016-11-01,6.03
2016-11-02,6.24
2016-11-03,6.5
2016-11-04,6.41
2016-11-07,6.23
2016-11-08,6.14
2016-11-09,6.13
2016-11-10,5.92
2016-11-11,5.68
2016-11-14,5.41
2016-11-15,5.74
2016-11-16,5.55
2016-11-17,5.9
2016-11-18,5.58
2016-11-21,5.48
2016-11-22,5.52
2016-11-23,5.39
2016-11-24,5.34
2016-11-25,5.01
2016-11-28,4.74
2016-11-29,4.56
2016-11-30,4.58
2016-12-01,4.46
2016-12-02,4.3
