date_m,2024,2023,2022,2021,2016-2021 average,max 2016-2021,min 2016-2021
01/01,86.4,84.33,53.78,73.65,71.13,88.56,62.76
01/02,86.19,84.32,53.79,73.12,70.67,88.06,62.1
01/03,85.98,84.24,53.66,72.55,70.16,87.64,61.38
01/04,85.65,84.17,53.42,71.79,69.6,87.25,60.7
01/05,85.29,84.03,53.04,70.96,69.04,86.85,59.9
01/06,84.92,83.99,52.65,70.17,68.47,86.32,59.04
01/07,84.48,83.95,52.14,69.28,67.87,85.74,58.33
01/08,83.69,83.89,51.72,68.39,67.26,85.21,57.62
01/09,82.84,83.66,51.3,67.6,66.68,84.74,56.82
01/10,81.96,83.42,50.56,66.83,66.11,84.35,56.04
01/11,81.12,83.15,49.84,65.92,65.54,83.93,55.3
01/12,80.36,82.94,49.1,65.05,65.0,83.51,54.59
01/13,79.76,82.69,48.39,64.21,64.46,83.01,53.9
01/14,79.21,82.5,47.68,63.31,63.86,82.48,53.32
01/15,78.51,82.29,47.13,62.34,63.11,81.94,52.71
01/16,77.75,81.86,46.64,61.49,62.46,81.4,51.9
01/17,77.02,81.37,46.0,60.67,61.78,80.84,51.02
01/18,76.35,80.86,45.31,59.74,61.03,80.29,50.11
01/19,75.67,80.26,44.69,58.93,60.3,79.7,49.23
01/20,75.11,79.63,44.04,58.27,59.61,79.04,48.4
01/21,74.59,79.09,43.35,57.7,58.93,78.3,47.72
01/22,74.08,78.53,42.78,57.1,58.24,77.57,47.05
01/23,73.6,77.75,42.23,56.56,57.54,76.82,46.2
01/24,73.21,77.02,41.54,55.99,56.93,76.08,45.38
01/25,72.81,76.32,40.81,55.19,56.27,75.47,44.55
01/26,72.44,75.67,40.14,54.4,55.67,74.93,43.76
01/27,72.08,74.96,39.55,53.62,55.11,74.34,43.03
01/28,71.72,74.36,38.99,52.96,54.56,73.62,42.49
01/29,71.24,73.83,38.64,52.41,54.03,72.99,41.97
01/30,70.78,73.24,38.29,51.9,53.52,72.57,41.37
01/31,70.34,72.74,37.75,51.32,52.99,72.06,40.73
02/01,69.9,72.26,37.3,50.65,52.52,71.86,40.24
02/02,69.53,71.81,36.87,50.06,52.08,71.65,39.75
02/03,69.31,71.43,36.46,49.6,51.68,71.29,39.33
02/04,69.1,71.12,36.12,49.09,51.2,70.85,38.99
02/05,68.78,70.81,35.88,48.62,50.69,70.32,38.65
02/06,68.46,70.15,35.66,48.23,50.14,69.7,38.11
02/07,68.05,69.49,35.27,47.7,49.64,69.19,37.56
02/08,67.66,68.82,34.9,46.87,49.07,68.77,36.93
02/09,67.41,68.14,34.55,45.98,48.52,68.47,36.24
02/10,67.24,67.54,34.14,45.08,48.0,68.14,35.54
02/11,67.26,67.11,33.71,44.18,47.46,67.8,35.01
02/12,66.71,66.75,33.37,43.26,46.89,67.21,34.62
02/13,66.36,66.28,33.1,42.4,46.34,66.7,34.13
