date_m,historical monthly average,forecasted monthly average
2016-01,32.46,
2016-02,33.85,
2016-03,40.13,
2016-04,43.32,
2016-05,47.88,
2016-06,50.2,
2016-07,46.8,
2016-08,47.32,
2016-09,47.5,
2016-10,51.77,
2016-11,47.6,
2016-12,55.19,
2017-01,55.71,
2017-02,56.17,
2017-03,52.66,
2017-04,54.03,
2017-05,51.54,
2017-06,47.71,
2017-07,49.25,
2017-08,51.8,
2017-09,55.38,
2017-10,57.52,
2017-11,62.72,
2017-12,63.71,
2018-01,68.84,
2018-02,65.54,
2018-03,66.54,
2018-04,71.45,
2018-05,76.96,
2018-06,75.79,
2018-07,74.96,
2018-08,74.0,
2018-09,78.87,
2018-10,80.46,
2018-11,66.1,
2018-12,58.0,
2019-01,60.24,
2019-02,64.45,
2019-03,66.91,
2019-04,71.36,
2019-05,69.72,
2019-06,62.57,
2019-07,64.09,
2019-08,59.25,
2019-09,61.79,
2019-10,59.41,
2019-11,62.2,
2019-12,64.63,
2020-01,63.24,
2020-02,55.39,
2020-03,34.58,
2020-04,28.12,
2020-05,32.83,
2020-06,40.84,
2020-07,43.35,
2020-08,45.26,
2020-09,42.18,
2020-10,41.75,
2020-11,44.11,
2020-12,50.15,
2021-01,55.25,
2021-02,61.95,
2021-03,65.5,
2021-04,65.06,
2021-05,68.12,
2021-06,73.1,
2021-07,73.86,
2021-08,70.2,
2021-09,74.53,
2021-10,83.37,
2021-11,80.3,
2021-12,74.59,
2022-01,85.12,
2022-02,92.96,
2022-03,110.65,
2022-04,105.51,
2022-05,110.66,
2022-06,115.81,
2022-07,102.9,
2022-08,97.08,
2022-09,89.88,
2022-10,92.64,
2022-11,90.41,
2022-12,81.3,
2023-01,84.07,
2023-02,83.34,
2023-03,78.98,
2023-04,83.23,
2023-05,75.62,
2023-06,75.0,
2023-07,79.98,
2023-08,84.86,
2023-09,91.97,
2023-10,88.0,
2023-11,81.88,
2023-12,77.33,
2024-01,78.95,
2024-02,81.34,81.34
2024-03-01,,83.0
2024-04-01,,84.0
2024-05-01,,85.0
2024-06-01,,86.0
2024-07-01,,86.5
2024-08-01,,87.0
2024-09-01,,87.0
2024-10-01,,86.5
2024-11-01,,86.0
2024-12-01,,85.0
2025-01-01,,84.83
2025-02-01,,84.67
2025-03-01,,84.5
2025-04-01,,84.33
2025-05-01,,84.17
2025-06-01,,84.0
2025-07-01,,83.83
2025-08-01,,83.67
2025-09-01,,83.5
2025-10-01,,83.33
2025-11-01,,83.17
2025-12-01,,83.0
