date_m,Europe,Other Asia Pacific,China (right-hand side),US,Japan,Others,India,South Korea
1965,21.94,1.49,4.79,11.61,2.04,14.55,1.49,0.21
1966,21.05,1.54,5.12,12.17,2.17,14.99,1.48,0.23
1967,20.37,1.6,4.56,11.94,2.39,15.23,1.51,0.22
1968,20.68,1.68,4.52,12.36,2.46,15.21,1.56,0.21
1969,20.95,1.74,5.46,12.41,2.62,15.41,1.66,0.22
1970,20.61,1.79,6.95,12.29,2.53,15.44,1.57,0.24
1971,19.73,1.85,8.01,11.63,2.3,15.73,1.59,0.24
1972,19.06,1.89,8.47,12.1,2.24,16.08,1.68,0.24
1973,19.36,1.96,8.58,13.0,2.37,16.36,1.66,0.31
1974,19.19,2.05,8.49,12.69,2.51,16.53,1.88,0.32
1975,18.74,2.13,9.57,12.69,2.35,17.05,2.02,0.34
1976,19.62,2.22,9.8,13.62,2.3,17.25,2.1,0.38
1977,19.57,2.35,10.78,13.95,2.17,17.83,2.2,0.41
1978,19.93,2.44,11.84,13.8,1.96,17.53,2.13,0.41
1979,20.8,2.6,12.25,15.07,2.1,17.73,2.26,0.5
1980,21.19,2.72,12.74,15.46,2.44,17.62,2.37,0.55
1981,20.83,2.79,12.67,15.94,2.73,17.85,2.67,0.64
1982,20.95,2.96,13.41,15.36,2.61,18.41,2.64,0.65
1983,21.24,3.15,14.36,15.93,2.57,18.62,2.8,0.69
1984,21.21,3.35,15.62,17.11,2.87,18.87,2.95,0.83
1985,26.06,3.58,17.05,17.52,3.0,15.14,3.09,0.92
1986,25.84,3.73,17.83,17.3,2.86,15.49,3.32,0.98
1987,26.05,3.88,19.34,18.05,2.91,15.9,3.64,0.99
1988,25.51,4.08,20.78,18.89,3.15,16.11,3.91,1.05
1989,25.2,4.26,21.77,19.11,3.15,15.61,4.25,1.03
1990,24.0,4.24,22.08,19.22,3.27,14.85,4.59,1.01
1991,22.61,4.33,23.16,19.04,3.24,14.07,4.89,1.01
1992,21.28,4.32,24.23,19.17,3.19,13.65,5.18,0.99
1993,19.89,4.39,25.81,19.88,3.25,12.8,5.36,1.08
1994,18.75,4.33,27.51,19.96,3.4,12.23,5.53,1.11
1995,18.54,4.48,27.85,20.13,3.53,11.91,5.87,1.15
1996,18.02,4.61,29.14,21.05,3.62,11.87,6.04,1.34
1997,17.52,4.91,28.55,21.49,3.72,11.55,6.32,1.46
1998,17.04,5.0,28.34,21.71,3.54,11.26,6.53,1.51
1999,16.09,5.34,29.16,21.67,3.73,11.27,6.47,1.6
2000,16.56,5.81,29.56,22.63,4.0,11.5,6.88,1.8
2001,16.41,6.22,31.09,21.96,4.09,11.67,6.94,1.91
2002,16.4,6.36,34.08,21.95,4.35,11.79,7.25,2.06
2003,17.06,7.02,40.62,22.37,4.47,12.14,7.59,2.14
2004,16.77,7.29,47.36,22.52,4.59,12.39,8.08,2.23
2005,16.38,7.64,55.46,22.85,4.81,11.94,8.84,2.29
2006,17.15,7.93,60.91,22.5,4.72,12.29,9.18,2.37
2007,17.38,8.39,66.33,22.8,4.96,12.43,10.04,2.5
2008,16.38,8.67,67.38,22.44,5.09,13.18,10.87,2.77
2009,14.67,8.37,70.58,19.74,4.27,12.31,11.83,2.87
2010,15.34,8.86,73.22,20.88,4.87,12.64,12.14,3.23
2011,15.98,9.26,79.71,19.7,4.62,12.93,12.76,3.5
2012,16.34,9.23,80.71,17.42,4.88,13.11,14.02,3.38
2013,15.8,8.87,82.43,18.08,5.07,12.89,14.87,3.41
2014,14.84,9.36,82.48,18.04,4.99,12.98,16.36,3.53
2015,14.2,9.97,80.92,15.58,5.03,12.76,16.55,3.58
2016,13.69,10.44,80.19,14.26,5.02,12.73,16.88,3.41
2017,13.04,11.17,80.56,13.87,5.1,12.72,17.44,3.61
2018,12.91,12.34,81.05,13.28,4.99,12.75,18.58,3.63
2019,11.02,13.47,81.7,11.34,4.91,12.85,18.59,3.44
2020,9.48,13.32,82.38,9.2,4.57,11.69,17.4,3.02
2021,10.01,13.53,86.17,10.57,4.8,11.89,20.09,3.04
