date_m,North America,Europe,Asia Pacific,Africa,CIS,Middle East,S. & Cent. America
1965,3774.0,3428.0,1431.0,194.0,1919.0,137.0,306.0
1966,3977.0,3475.0,1549.0,203.0,2027.0,143.0,321.0
1967,4090.0,3544.0,1616.0,203.0,2121.0,149.0,333.0
1968,4328.0,3758.0,1722.0,212.0,2173.0,157.0,353.0
1969,4517.0,4008.0,1958.0,214.0,2254.0,165.0,368.0
1970,4701.0,4226.0,2235.0,230.0,2337.0,172.0,391.0
1971,4750.0,4293.0,2446.0,253.0,2432.0,181.0,408.0
1972,4993.0,4439.0,2583.0,264.0,2551.0,196.0,436.0
1973,5241.0,4668.0,2786.0,285.0,2660.0,216.0,476.0
1974,5089.0,4544.0,2826.0,297.0,2763.0,229.0,492.0
1975,4916.0,4442.0,2932.0,314.0,2896.0,225.0,492.0
1976,5199.0,4721.0,3061.0,342.0,2990.0,257.0,517.0
1977,5374.0,4724.0,3250.0,356.0,3098.0,292.0,543.0
1978,5423.0,4762.0,3385.0,367.0,3196.0,302.0,559.0
1979,5532.0,4916.0,3524.0,396.0,3258.0,355.0,587.0
1980,5381.0,4801.0,3556.0,433.0,3280.0,339.0,606.0
1981,5228.0,4600.0,3576.0,484.0,3313.0,366.0,601.0
1982,4999.0,4500.0,3609.0,525.0,3377.0,406.0,588.0
1983,4938.0,4467.0,3758.0,545.0,3415.0,447.0,577.0
1984,5194.0,4489.0,4029.0,563.0,3475.0,501.0,588.0
1985,5213.0,5398.0,4161.0,582.0,2761.0,532.0,591.0
1986,5222.0,5454.0,4318.0,591.0,2825.0,539.0,618.0
1987,5397.0,5510.0,4560.0,613.0,2886.0,575.0,635.0
1988,5647.0,5459.0,4907.0,651.0,2927.0,604.0,652.0
1989,5769.0,5445.0,5150.0,642.0,2918.0,635.0,667.0
1990,5683.0,5460.0,5351.0,662.0,2848.0,671.0,653.0
1991,5628.0,5327.0,5606.0,654.0,2761.0,706.0,661.0
1992,5727.0,5073.0,5861.0,671.0,2626.0,758.0,702.0
1993,5840.0,4908.0,6171.0,675.0,2389.0,781.0,719.0
1994,5956.0,4742.0,6504.0,698.0,2173.0,873.0,763.0
1995,5994.0,4805.0,6764.0,720.0,2017.0,898.0,797.0
1996,6194.0,4888.0,7077.0,739.0,1950.0,920.0,824.0
1997,6297.0,4825.0,7227.0,754.0,1823.0,964.0,867.0
1998,6370.0,4838.0,7162.0,760.0,1810.0,973.0,905.0
1999,6421.0,4758.0,7454.0,781.0,1808.0,992.0,901.0
2000,6628.0,4789.0,7696.0,792.0,1798.0,1045.0,915.0
2001,6539.0,4841.0,7947.0,819.0,1830.0,1090.0,929.0
2002,6593.0,4838.0,8389.0,818.0,1830.0,1142.0,929.0
2003,6668.0,4968.0,9258.0,863.0,1871.0,1191.0,936.0
2004,6785.0,4986.0,10222.0,928.0,1887.0,1281.0,987.0
2005,6846.0,4984.0,11175.0,937.0,1872.0,1339.0,1006.0
2006,6772.0,5058.0,11855.0,952.0,1948.0,1407.0,1049.0
2007,6889.0,5015.0,12641.0,984.0,1959.0,1484.0,1106.0
2008,6694.0,4930.0,12940.0,1050.0,1994.0,1589.0,1133.0
2009,6256.0,4567.0,13224.0,1065.0,1876.0,1613.0,1094.0
2010,6475.0,4675.0,13976.0,1096.0,1939.0,1710.0,1174.0
2011,6354.0,4598.0,14848.0,1097.0,2039.0,1770.0,1226.0
2012,6111.0,4537.0,15286.0,1133.0,2070.0,1836.0,1277.0
2013,6284.0,4429.0,15637.0,1159.0,2035.0,1893.0,1336.0
2014,6282.0,4199.0,15818.0,1197.0,2046.0,1940.0,1354.0
2015,6171.0,4207.0,15956.0,1207.0,2017.0,1987.0,1352.0
2016,6062.0,4255.0,16119.0,1240.0,2021.0,2041.0,1309.0
2017,6024.0,4296.0,16476.0,1262.0,2023.0,2050.0,1298.0
2018,6179.0,4247.0,16895.0,1277.0,2128.0,2054.0,1267.0
2019,6019.0,4087.0,17179.0,1297.0,2110.0,2104.0,1244.0
2020,5307.0,3593.0,16753.0,1195.0,1981.0,2025.0,1129.0
