date_m,United States,Euro Area,Japan,China,United Kingdom
2015-01-31,2.8,1.0,-2.1,7.45,3.5
2015-02-28,1.4,2.0,-2.8,6.06,4.7
2015-03-31,0.0,2.8,-2.4,5.6,6.4
2015-04-30,-0.6,1.0,-0.2,5.9,6.2
2015-05-31,-1.4,2.4,-5.1,6.1,6.2
2015-06-30,-2.1,3.1,1.7,6.8,6.5
2015-07-31,-1.7,2.8,-0.2,6.0,4.7
2015-08-31,-1.7,3.5,-0.9,6.1,6.3
2015-09-30,-2.3,3.1,-0.9,5.7,5.4
2015-10-31,-2.7,4.0,-1.4,5.6,5.5
2015-11-30,-4.1,2.9,1.6,6.2,3.2
2015-12-31,-4.5,2.1,-1.2,5.9,0.9
2016-01-31,-3.3,6.1,-4.2,5.4,0.8
2016-02-29,-3.2,0.8,-0.1,5.4,-1.0
2016-03-31,-3.6,0.1,1.1,6.8,-0.7
2016-04-30,-2.7,2.2,-1.9,6.0,2.7
2016-05-31,-2.5,-0.2,0.2,6.0,1.5
2016-06-30,-1.7,0.4,-1.2,6.2,0.0
2016-07-31,-2.2,0.0,-4.0,6.0,0.7
2016-08-31,-2.2,1.2,4.6,6.3,0.2
2016-09-30,-2.0,1.1,1.0,6.1,0.1
2016-10-31,-1.5,2.5,-1.3,6.1,-1.4
2016-11-30,-1.1,3.2,4.1,6.2,0.8
2016-12-31,0.1,2.3,2.1,6.0,2.4
2017-01-31,-0.7,-0.7,2.6,6.3,-0.4
2017-02-28,-0.5,1.5,2.9,6.3,-0.2
2017-03-31,0.9,1.7,1.7,7.6,-2.2
2017-04-30,1.6,1.2,4.0,6.5,-4.5
2017-05-31,1.9,3.2,5.3,6.5,-2.6
2017-06-30,1.6,1.8,4.2,7.6,-1.5
2017-07-31,1.3,3.4,2.6,6.4,-0.7
2017-08-31,0.9,4.1,3.6,6.0,-0.4
2017-09-30,1.1,3.7,1.3,6.6,1.7
2017-10-31,2.3,3.4,4.0,6.2,3.4
2017-11-30,3.0,5.3,2.2,6.1,3.2
2017-12-31,2.4,5.3,3.2,6.2,2.1
2018-01-31,2.6,3.4,1.4,7.2,3.4
2018-02-28,3.4,2.2,0.9,7.2,4.1
2018-03-31,3.2,2.9,2.5,6.0,5.2
2018-04-30,3.3,1.6,1.9,7.0,4.2
2018-05-31,2.3,2.5,3.5,6.8,3.8
2018-06-30,2.9,2.4,-1.5,6.0,5.7
2018-07-31,3.2,-0.1,2.4,6.0,3.9
2018-08-31,4.4,0.8,0.6,6.1,4.5
2018-09-30,4.4,0.7,-2.5,5.8,2.8
2018-10-31,2.9,0.8,4.2,5.9,1.5
2018-11-30,2.7,-3.3,1.9,5.4,0.8
2018-12-31,2.5,-3.9,-2.0,5.7,0.6
2019-01-31,2.0,0.3,0.4,5.3,1.8
2019-02-28,1.0,0.4,-0.5,5.3,2.1
2019-03-31,0.6,0.0,-4.1,8.5,3.2
2019-04-30,-1.1,0.4,-0.4,5.4,1.0
2019-05-31,0.0,-0.9,-1.8,5.0,2.3
2019-06-30,-0.7,-1.8,-3.1,6.3,0.9
2019-07-31,-1.3,-0.7,1.0,4.8,2.1
2019-08-31,-1.3,-1.9,-5.0,4.4,0.7
2019-09-30,-1.5,-0.5,1.8,5.8,2.1
2019-10-31,-2.2,-0.4,-7.8,4.7,4.1
2019-11-30,-1.8,-0.3,-7.8,6.2,3.9
2019-12-31,-2.0,-3.1,-3.7,6.9,3.9
2020-01-31,-1.9,-1.2,-3.1,-13.5,4.9
2020-02-29,-1.2,-1.4,-6.1,-13.5,5.2
2020-03-31,-5.0,-12.7,-5.2,-1.1,-1.0
2020-04-30,-17.3,-28.3,-14.9,3.9,-17.1
2020-05-31,-16.1,-19.4,-25.9,4.4,-12.0
2020-06-30,-10.7,-10.9,-18.1,4.8,-2.1
2020-07-31,-6.9,-5.7,-16.2,4.8,2.9
2020-08-31,-6.7,-6.1,-14.3,5.6,5.6
2020-09-30,-6.5,-5.5,-9.7,6.9,5.7
2020-10-31,-5.1,-3.6,-4.2,6.9,5.8
2020-11-30,-5.2,1.5,-4.5,7.0,7.8
2020-12-31,-3.8,2.0,-3.1,7.3,8.4
2021-01-31,-2.6,2.3,-5.2,35.1,4.6
2021-02-28,-6.2,-0.2,-2.2,35.1,4.1
2021-03-31,0.5,13.3,3.1,14.1,10.5
2021-04-30,16.18,41.7,14.3,9.8,34.0
2021-05-31,15.33,21.9,19.3,8.8,26.4
2021-06-30,8.68,11.1,21.8,8.3,11.5
2021-07-31,5.38,8.2,10.9,6.4,5.8
2021-08-31,4.42,5.3,8.5,5.3,4.3
2021-09-30,3.36,6.7,-1.4,3.1,1.7
2021-10-31,4.02,2.6,-3.8,3.5,-0.4
2021-11-30,4.48,1.0,5.1,3.8,-1.7
2021-12-31,2.97,4.2,1.9,4.3,-2.4
2022-01-31,2.27,1.2,-0.7,7.5,-0.9
2022-02-28,6.61,3.1,0.0,7.5,-1.5
2022-03-31,4.43,0.5,-1.6,5.0,-2.4
2022-04-30,4.59,-1.1,-4.7,-2.9,-2.0
2022-05-31,3.66,3.1,-2.7,0.7,-3.3
2022-06-30,3.19,4.1,-3.0,3.9,-2.8
2022-07-31,3.01,-0.8,-1.8,3.8,-3.3
2022-08-31,3.1,4.9,5.66,4.2,-5.0
2022-09-30,4.51,6.3,8.73,6.3,-4.0
2022-10-31,3.1,4.2,3.13,5.0,-1.2
2022-11-30,1.9,3.8,-1.36,2.2,-2.8
2022-12-31,0.59,-1.9,-2.18,1.3,-2.9
2023-01-31,1.51,0.8,-2.79,2.4,-2.5
2023-02-28,0.88,1.7,-0.59,2.4,-2.3
2023-03-31,0.18,-1.5,-0.85,3.9,-1.2
2023-04-30,0.35,-0.1,-0.68,5.6,-0.9
2023-05-31,0.14,-2.4,4.2,3.5,-2.0
2023-06-30,-0.38,-1.1,0.0,4.4,1.5
2023-07-31,0.06,-2.1,-2.32,3.7,1.0
2023-08-31,-0.12,-5.3,-4.36,4.5,1.2
2023-09-30,-0.31,-6.7,-4.37,4.5,1.2
2023-10-31,-1.0,-6.6,1.14,4.6,-0.5
2023-11-30,-0.39,-5.4,-1.38,6.6,0.1
2023-12-31,1.17,1.2,-1.02,6.8,0.6
2024-01-31,0.03,,-1.49,,
