date_m,United States,Euro Area,Japan,China,United Kingdom
2015-01-31,-0.1,-0.6,2.4,0.8,0.3
2015-02-28,0.0,-0.3,2.2,1.4,0.0
2015-03-31,-0.1,-0.1,2.3,1.4,0.0
2015-04-30,-0.2,0.2,0.6,1.5,-0.1
2015-05-31,0.0,0.6,0.5,1.2,0.1
2015-06-30,0.1,0.5,0.4,1.4,0.0
2015-07-31,0.2,0.5,0.2,1.6,0.1
2015-08-31,0.2,0.4,0.2,2.0,0.0
2015-09-30,0.0,0.2,0.0,1.6,-0.1
2015-10-31,0.2,0.4,0.3,1.3,-0.1
2015-11-30,0.5,0.1,0.3,1.5,0.1
2015-12-31,0.7,0.3,0.2,1.6,0.2
2016-01-31,1.4,0.3,-0.1,1.8,0.3
2016-02-29,1.0,-0.1,0.2,2.3,0.3
2016-03-31,0.9,0.0,0.0,2.3,0.5
2016-04-30,1.1,-0.3,-0.3,2.3,0.3
2016-05-31,1.0,-0.1,-0.5,2.0,0.3
2016-06-30,1.0,0.0,-0.4,1.9,0.5
2016-07-31,0.8,0.2,-0.4,1.8,0.6
2016-08-31,1.1,0.2,-0.5,1.3,0.6
2016-09-30,1.5,0.4,-0.5,1.9,1.0
2016-10-31,1.6,0.5,0.1,2.1,0.9
2016-11-30,1.7,0.6,0.5,2.3,1.2
2016-12-31,2.1,1.1,0.3,2.1,1.6
2017-01-31,2.5,1.7,0.4,2.5,1.8
2017-02-28,2.7,2.0,0.3,0.8,2.3
2017-03-31,2.4,1.5,0.2,0.9,2.3
2017-04-30,2.2,1.9,0.4,1.2,2.7
2017-05-31,1.9,1.4,0.4,1.5,2.9
2017-06-30,1.6,1.3,0.4,1.5,2.6
2017-07-31,1.7,1.3,0.4,1.4,2.6
2017-08-31,1.9,1.5,0.7,1.8,2.9
2017-09-30,2.2,1.6,0.7,1.6,3.0
2017-10-31,2.0,1.4,0.2,1.9,3.0
2017-11-30,2.2,1.5,0.6,1.7,3.1
2017-12-31,2.1,1.3,1.0,1.8,3.0
2018-01-31,2.1,1.3,1.4,1.5,3.0
2018-02-28,2.2,1.1,1.5,2.9,2.7
2018-03-31,2.4,1.4,1.1,2.1,2.5
2018-04-30,2.5,1.2,0.6,1.8,2.4
2018-05-31,2.8,2.0,0.7,1.8,2.4
2018-06-30,2.9,2.0,0.7,1.9,2.4
2018-07-31,2.9,2.2,0.9,2.1,2.5
2018-08-31,2.7,2.1,1.3,2.3,2.7
2018-09-30,2.3,2.1,1.2,2.5,2.4
2018-10-31,2.5,2.3,1.4,2.5,2.4
2018-11-30,2.2,1.9,0.8,2.2,2.3
2018-12-31,1.9,1.5,0.3,1.9,2.1
2019-01-31,1.6,1.4,0.2,1.7,1.8
2019-02-28,1.5,1.5,0.2,1.5,1.9
2019-03-31,1.9,1.4,0.5,2.3,1.9
2019-04-30,2.0,1.7,0.9,2.5,2.1
2019-05-31,1.8,1.2,0.7,2.7,2.0
2019-06-30,1.6,1.3,0.7,2.7,2.0
2019-07-31,1.8,1.0,0.5,2.8,2.1
2019-08-31,1.7,1.0,0.3,2.8,1.7
2019-09-30,1.7,0.8,0.2,3.0,1.7
2019-10-31,1.8,0.7,0.2,3.8,1.5
2019-11-30,2.1,1.0,0.5,4.5,1.5
2019-12-31,2.3,1.3,0.8,4.5,1.3
2020-01-31,2.5,1.4,0.7,5.4,1.8
2020-02-29,2.3,1.2,0.4,5.2,1.7
2020-03-31,1.5,0.7,0.4,4.3,1.5
2020-04-30,0.3,0.3,0.1,3.3,0.8
2020-05-31,0.1,0.1,0.1,2.4,0.5
2020-06-30,0.6,0.3,0.1,2.5,0.6
2020-07-31,1.0,0.4,0.3,2.7,1.0
2020-08-31,1.3,-0.2,0.2,2.4,0.2
2020-09-30,1.4,-0.3,0.0,1.7,0.5
2020-10-31,1.2,-0.3,-0.4,0.5,0.7
2020-11-30,1.2,-0.3,-0.9,-0.5,0.3
2020-12-31,1.4,-0.3,-1.2,0.2,0.6
2021-01-31,1.4,0.9,-0.7,-0.3,0.7
2021-02-28,1.7,0.9,-0.5,-0.2,0.4
2021-03-31,2.6,1.3,-0.4,0.4,0.7
2021-04-30,4.2,1.6,-1.1,0.9,1.5
2021-05-31,5.0,2.0,-0.8,1.3,2.1
2021-06-30,5.4,1.9,-0.5,1.1,2.5
2021-07-31,5.4,2.2,-0.3,1.0,2.0
2021-08-31,5.3,3.0,-0.4,0.8,3.2
2021-09-30,5.4,3.4,0.2,0.7,3.1
2021-10-31,6.2,4.1,0.1,1.5,4.2
2021-11-30,6.8,4.9,0.6,2.3,5.1
2021-12-31,7.0,5.0,0.8,1.5,5.4
2022-01-31,7.5,5.1,0.5,0.9,5.5
2022-02-28,7.9,5.9,0.9,0.9,6.2
2022-03-31,8.5,7.4,1.2,1.5,7.0
2022-04-30,8.3,7.4,2.5,2.1,9.0
2022-05-31,8.6,8.1,2.5,2.1,9.1
2022-06-30,9.1,8.6,2.4,2.5,9.4
2022-07-31,8.5,8.9,2.6,2.7,10.1
2022-08-31,8.3,9.1,3.0,2.5,9.9
2022-09-30,8.2,9.9,3.0,2.8,10.1
2022-10-31,7.7,10.6,3.7,2.1,11.1
2022-11-30,7.1,10.1,3.8,1.6,10.7
2022-12-31,6.5,9.2,4.0,1.8,10.5
2023-01-31,6.4,8.6,4.3,2.1,10.1
2023-02-28,6.0,8.5,3.3,1.0,10.4
2023-03-31,5.0,6.9,3.2,0.7,10.1
2023-04-30,4.9,7.0,3.5,0.1,8.7
2023-05-31,4.1,6.1,3.2,0.2,8.7
2023-06-30,3.0,5.5,3.3,0.0,7.9
2023-07-31,3.2,5.3,3.3,-0.3,6.8
2023-08-31,3.7,5.2,3.2,0.1,6.7
2023-09-30,3.7,4.3,3.0,0.0,6.7
2023-10-31,3.2,2.9,3.3,-0.2,4.6
2023-11-30,3.1,2.4,2.8,-0.5,3.9
2023-12-31,3.4,2.9,2.6,-0.3,4.0
2024-01-31,3.1,2.8,2.2,-0.8,4.0
2024-02-29,,2.6,,0.7,
