date_m,Unknown,Germany,France,Italy,Spain,Euro Area
2015-01-31,50.0,,,,,
2024-02-29,50.0,43.77,44.1,47.5,48.97,45.83
2015-02-28,,,,,,
2015-03-31,,51.6,48.53,51.7,54.4,51.4
2015-04-30,,52.0,48.13,53.0,54.23,51.73
2015-05-31,,52.0,48.73,53.97,54.77,52.13
2015-06-30,,51.7,49.37,54.23,54.83,52.23
2015-07-31,,51.6,49.9,54.73,54.63,52.37
2015-08-31,,52.33,49.53,54.4,53.77,52.4
2015-09-30,,52.47,49.5,53.93,52.83,52.23
2015-10-31,,52.57,49.83,53.53,52.07,52.2
2015-11-30,,52.43,50.6,53.9,52.03,52.37
2015-12-31,,52.73,50.87,54.87,52.47,52.77
2016-01-31,,52.8,50.67,54.57,53.83,52.77
2016-02-29,,52.0,50.53,53.67,54.17,52.23
2016-03-31,,51.17,49.93,52.97,54.3,51.7
2016-04-30,,51.0,49.27,53.2,53.67,51.5
2016-05-31,,51.53,48.67,53.27,52.9,51.6
2016-06-30,,52.8,48.23,53.27,52.5,52.0
2016-07-31,,53.47,48.43,52.37,51.67,52.1
2016-08-31,,53.97,48.4,51.5,51.4,52.17
2016-09-30,,53.9,48.87,50.67,51.43,52.1
2016-10-31,,54.3,49.93,50.57,52.2,52.6
2016-11-30,,54.53,51.07,51.37,53.37,53.27
2016-12-31,,54.97,52.33,52.1,54.37,54.03
2017-01-31,,55.43,52.93,52.8,55.13,54.6
2017-02-28,,56.27,53.1,53.73,55.23,55.17
2017-03-31,,57.17,53.03,54.57,54.77,55.6
2017-04-30,,57.77,53.53,55.63,54.4,56.1
2017-05-31,,58.67,54.07,55.67,54.6,56.63
2017-06-30,,59.1,54.57,55.5,54.87,57.03
2017-07-31,,59.07,54.5,55.13,54.7,57.0
2017-08-31,,59.0,55.17,55.53,53.7,57.13
2017-09-30,,59.33,55.6,55.9,53.57,57.37
2017-10-31,,60.17,56.0,56.8,54.17,58.0
2017-11-30,,61.23,56.63,57.47,55.4,58.9
2017-12-31,,62.13,57.53,57.83,55.9,59.73
2018-01-31,,62.3,58.3,58.23,55.7,60.1
2018-02-28,,61.67,57.7,57.73,55.67,59.6
2018-03-31,,59.97,56.0,56.97,55.33,58.27
2018-04-30,,58.97,54.47,55.13,55.07,57.13
2018-05-31,,57.73,53.97,53.77,54.2,56.1
2018-06-30,,56.97,53.57,53.17,53.73,55.53
2018-07-31,,56.57,53.4,52.5,53.23,55.17
2018-08-31,,56.23,53.1,51.63,53.1,54.87
2018-09-30,,55.5,53.1,50.53,52.43,54.3
2018-10-31,,53.93,52.4,49.77,52.07,53.27
2018-11-30,,52.57,51.5,49.27,51.93,52.33
2018-12-31,,51.83,50.57,49.0,51.83,51.73
2019-01-31,,51.0,50.57,48.53,52.03,51.23
2019-02-28,,49.6,50.8,48.23,51.13,50.4
