jour,quantite,statut
1,734,reussi
2,732,reussi
3,675,reussi
5,738,reussi
8,738,reussi
9,721,reussi
10,663,reussi
12,687,reussi
15,712,reussi
16,674,reussi
17,715,reussi
19,700,reussi
22,719,reussi
23,656,reussi
24,691,reussi
26,664,reussi
29,682,reussi
30,676,reussi
31,687,reussi
33,750,reussi
36,0,annule
37,735,reussi
38,654,reussi
40,746,reussi
43,662,reussi
44,749,reussi
45,701,reussi
47,678,reussi
50,678,reussi
51,725,reussi
52,676,reussi
54,685,reussi
57,692,reussi
58,669,reussi
59,723,reussi
61,655,reussi
64,696,reussi
65,661,reussi
66,711,reussi
68,0,annule
71,709,reussi
72,749,reussi
73,654,reussi
75,721,reussi
78,741,reussi
79,658,reussi
80,678,reussi
82,690,reussi
85,672,reussi
86,750,reussi
87,685,reussi
89,706,reussi
92,703,reussi
93,689,reussi
94,0,annule
96,658,reussi
99,0,annule
100,690,reussi
101,674,reussi
103,687,reussi
106,731,reussi
107,740,reussi
108,0,annule
110,700,reussi
113,674,reussi
114,0,annule
115,682,reussi
117,712,reussi
120,0,annule
121,734,reussi
122,730,reussi
124,698,reussi
127,735,reussi
128,710,reussi
129,720,reussi
131,662,reussi
134,700,reussi
135,732,reussi
136,679,reussi
138,694,reussi
141,665,reussi
142,667,reussi
143,696,reussi
145,741,reussi
148,743,reussi
149,712,reussi
150,657,reussi
152,652,reussi
155,723,reussi
156,683,reussi
157,736,reussi
159,681,reussi
162,742,reussi
163,706,reussi
164,737,reussi
166,721,reussi
169,750,reussi
170,746,reussi
171,657,reussi
173,745,reussi
176,681,reussi
177,665,reussi
178,686,reussi
180,663,reussi
183,697,reussi
184,723,reussi
185,672,reussi
187,668,reussi
190,709,reussi
191,650,reussi
192,669,reussi
194,651,reussi
197,661,reussi
198,686,reussi
199,743,reussi
201,702,reussi
204,735,reussi
205,730,reussi
206,708,reussi
208,745,reussi
211,730,reussi
212,689,reussi
213,674,reussi
215,671,reussi
218,653,reussi
219,678,reussi
220,736,reussi
222,719,reussi
225,734,reussi
226,690,reussi
227,666,reussi
229,725,reussi
232,735,reussi
233,706,reussi
234,740,reussi
236,661,reussi
239,702,reussi
240,694,reussi
241,734,reussi
243,0,annule
246,703,reussi
247,700,reussi
248,0,annule
250,660,reussi
253,685,reussi
254,688,reussi
255,703,reussi
257,673,reussi
260,718,reussi
261,685,reussi
262,732,reussi
264,730,reussi
267,747,reussi
268,715,reussi
269,722,reussi
271,650,reussi
274,692,reussi
275,674,reussi
276,0,annule
278,693,reussi
281,747,reussi
282,750,reussi
283,698,reussi
285,723,reussi
288,696,reussi
289,729,reussi
290,657,reussi
292,730,reussi
295,729,reussi
296,674,reussi
297,661,reussi
299,0,annule
302,0,annule
303,659,reussi
304,666,reussi
306,734,reussi
309,0,annule
310,656,reussi
311,697,reussi
313,708,reussi
316,731,reussi
317,688,reussi
318,708,reussi
320,666,reussi
323,673,reussi
324,709,reussi
325,652,reussi
327,689,reussi
330,0,annule
331,664,reussi
332,653,reussi
334,674,reussi
337,682,reussi
338,691,reussi
339,0,annule
341,691,reussi
344,662,reussi
345,681,reussi
346,0,annule
348,678,reussi
351,0,annule
352,706,reussi
353,659,reussi
355,733,reussi
358,0,annule
359,694,reussi
360,679,reussi
362,667,reussi
365,674,reussi
