🚀 Initialisation de l'entraînement sur MPS...
✅ Tokenizer chargé (Vocab: 30256)
🚀 Device: mps
Dtype du modèle : torch.float32
📥 Chargement du checkpoint : model/my_wiki.pth
✅ Modèle restauré. (Fichiers déjà traités : 0)
🚀 Dataset Train: 1526.63M tokens.
✅ Provider HP initialisé : 5963390 blocs uniques.
🔄 Reprise au step 3300
🚀 Init terminé.
📦 Démarrage du mode binaire (Continuous Training)
🌡️  Surveillance Mac Pro : Maintenir sous 75°C idéalement.
[96m[Model config][0m
  n_embd             : 384[0m
  num_heads          : 6[0m
  n_layers           : 6[0m
  block_size         : 256[0m
  dropout            : [93m0.15[0m
[96m[Train params][0m
  batch_size         : 32[0m
  grad_accum_steps   : 4[0m
  learning_rate      : [92m0.0003[0m
  min_lr             : 3e-05[0m
  warmup_iters       : 2000[0m
  lr_decay_iters     : 75000[0m
  eval_interval      : [92m300[0m
  eval_iters         : 20[0m
  save_interval      : 300[0m
  n_version          : 10[0m
  [1mEffective Batch Size: 128[0m
..................................................

📦 Démarrage Training sur 3Go (Mode Continu)
   ▶️ Reprise au step : 3300
   📉 Evaluation tous les : 300 steps
   💾 Sauvegarde tous les : 300 steps
step 3600: train loss 3.3529, val loss 3.3931, lr 3.00e-04 (1677.49s) | 💾 | 🗑️ | ✨
step 3900: train loss 3.3484, val loss 3.3238, lr 3.00e-04 (1676.68s) | 💾 | 🗑️ | ✨
step 4200: train loss 3.3235, val loss 3.2934, lr 2.99e-04 (1759.68s) | 💾 | 🗑️ | ✨
step 4500: train loss 3.2515, val loss 3.2510, lr 2.99e-04 (1761.34s) | 💾 | 🗑️ | ✨
step 4800: train loss 3.2377, val loss 3.2188, lr 2.99e-04 (1757.51s) | 💾 | 🗑️ | ✨
step 5100: train loss 3.2470, val loss 3.2004, lr 2.99e-04 (1752.02s) | 💾 | 🗑️ | ✨
step 5400: train loss 3.2058, val loss 3.1987, lr 2.99e-04 (1756.69s) | 💾 | 🗑️ | ✨
step 5700: train loss 3.1794, val loss 3.1428, lr 2.98e-04 (1766.41s) | 💾 | 🗑️ | ✨
step 6000: train loss 3.1474, val loss 3.1391, lr 2.98e-04 (1770.76s) | 💾 | 🗑️ | ✨
step 6300: train loss 3.0179, val loss 3.1336, lr 2.98e-04 (1762.10s) | 💾 | 🗑️ | ✨
step 6600: train loss 3.0433, val loss 3.0609, lr 2.97e-04 (1771.01s) | 💾 | 🗑️ | ✨
step 6900: train loss 3.1140, val loss 3.0928, lr 2.97e-04 (1767.78s) | 💾 | 🗑️ | ✨
step 7200: train loss 3.0478, val loss 3.0422, lr 2.97e-04 (1769.35s) | 💾 | 🗑️ | ✨
step 7500: train loss 3.0192, val loss 3.0619, lr 2.96e-04 (1767.57s) | 💾 | 🗑️ | ✨
step 7800: train loss 3.0564, val loss 3.0247, lr 2.96e-04 (1777.82s) | 💾 | 🗑️ | ✨
step 8100: train loss 3.0453, val loss 3.0713, lr 2.95e-04 (1773.65s) | 💾 | 🗑️ | ✨
step 8400: train loss 3.0480, val loss 3.0197, lr 2.95e-04 (1773.24s) | 💾 | 🗑️ | ✨
step 8700: train loss 3.0834, val loss 3.0193, lr 2.94e-04 (1780.37s) | 💾 | 🗑️ | ✨
step 9000: train loss 2.9759, val loss 2.9707, lr 2.94e-04 (1782.46s) | 💾 | 🗑️ | ✨
step 9300: train loss 3.0141, val loss 3.0139, lr 2.93e-04 (1801.81s) | 💾 | 🗑️ | ✨
